Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,COc1ccccc1C(c1c(=O)oc2c(c1O)cccc2)c1c(=O)oc2c(c1O)cccc2,C26H18O7,442.42,33,26,0.08,4,7,2,123.00,110.11,3.09,3.16,4.50,2.81,5.14,3.74,-4.89,5.66e-03,1.28e-05,Moderately soluble,-5.14,3.19e-03,7.20e-06,Moderately soluble,-8.77,7.55e-07,1.71e-09,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-6.76,0,0,0,0,0,0.55,0,1,1,3.75
Molecule 2,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(SCc2cc3cc(C)ccc3oc2=O)nc2c1nc(N)nc2SCc1cc2cc(C)ccc2oc1=O,C32H29N5O8S2,675.73,47,29,0.28,8,11,4,177.11,250.56,4.02,3.50,2.81,1.81,3.54,3.14,-6.16,4.64e-04,6.87e-07,Poorly soluble,-8.44,2.43e-06,3.59e-09,Poorly soluble,-8.45,2.40e-06,3.56e-09,Poorly soluble,Low,No,Yes,No,No,No,No,No,-7.94,2,3,1,1,3,0.17,0,1,2,6.01
Molecule 3,COc1ccc2c(c1)cc(c(=O)o2)CSc1nc2c(n1C1O[C@@H]([C@@H]([C@@H]1O)O)CO)nc(nc2SCc1cc2cc(OC)ccc2oc1=O)N,C32H29N5O10S2,707.73,49,29,0.28,10,13,4,180.16,269.02,2.74,2.71,2.21,0.87,2.64,2.23,-5.71,1.37e-03,1.94e-06,Moderately soluble,-8.01,6.87e-06,9.71e-09,Poorly soluble,-7.88,9.27e-06,1.31e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.69,2,3,1,1,3,0.17,0,1,2,6.04
Molecule 4,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(SCc2cc3cccc(c3oc2=O)OC)nc2c1nc(N)nc2SCc1cc2cccc(c2oc1=O)OC,C32H29N5O10S2,707.73,49,29,0.28,10,13,4,180.16,269.02,3.11,2.71,2.21,0.87,2.64,2.31,-5.71,1.37e-03,1.94e-06,Moderately soluble,-8.01,6.87e-06,9.71e-09,Poorly soluble,-7.88,9.27e-06,1.31e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.69,2,3,1,1,3,0.17,0,1,2,6.07
Molecule 5,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(Sc2ccccc2)nc2c1nc(N)nc2SCc1cc2cc(OC)ccc2oc1=O,C27H25N5O7S2,595.65,41,25,0.26,8,10,4,151.98,229.58,2.97,2.80,2.11,1.28,1.69,2.17,-5.22,3.59e-03,6.02e-06,Moderately soluble,-7.28,3.14e-05,5.27e-08,Poorly soluble,-6.29,3.02e-04,5.07e-07,Poorly soluble,Low,No,No,No,No,No,No,No,-7.95,2,2,1,1,1,0.17,0,1,2,5.57
Molecule 6,OC[C@H]1OC([C@H]([C@H]1O)O)n1c(SC#CC#CC#CC#CC#C)nc2c1nc(N)nc2SCc1cc2cc(OC)ccc2oc1=O.[H][H].[H][H].[H][H],C31H21N5O7S2,645.71,45,19,0.23,7,10,4,167.21,229.58,0.00,3.20,1.76,1.66,2.88,1.90,-5.71,1.26e-03,1.95e-06,Moderately soluble,-7.69,1.31e-05,2.03e-08,Poorly soluble,-4.13,4.75e-02,7.36e-05,Moderately soluble,Low,No,No,No,No,Yes,No,No,-7.97,2,3,1,1,2,0.17,0,2,1,5.90
Molecule 7,O=c1cc(CSc2nc(Nc3ccccc3)c3c(n2)cccc3)c2c(o1)ccc(c2)C(C)(C)C,C28H25N3O2S,467.58,34,26,0.18,6,4,1,140.60,93.32,4.13,6.96,6.92,5.16,6.47,5.93,-7.29,2.38e-05,5.09e-08,Poorly soluble,-8.73,8.64e-07,1.85e-09,Poorly soluble,-11.21,2.88e-09,6.17e-12,Insoluble,Low,No,No,No,Yes,No,No,Yes,-4.21,1,2,0,1,1,0.55,0,1,2,3.89
Molecule 8,O=c1cc(CSc2nc(Nc3cccc(c3C)C)c3c(n2)cccc3)c2c(o1)ccc(c2)C(C)(C)C,C30H29N3O2S,495.64,36,26,0.23,6,4,1,150.53,93.32,4.54,7.69,7.53,5.55,7.54,6.57,-7.90,6.30e-06,1.27e-08,Poorly soluble,-9.49,1.60e-07,3.23e-10,Poorly soluble,-11.95,5.51e-10,1.11e-12,Insoluble,Low,No,Yes,No,Yes,No,Yes,Yes,-3.86,1,3,0,1,1,0.55,0,1,2,4.15
Molecule 9,Cc1ccc(c(c1)C)Nc1nc(SCc2cc(=O)oc3c2cc(cc3)C(C)(C)C)nc2c1cccc2,C30H29N3O2S,495.64,36,26,0.23,6,4,1,150.53,93.32,4.66,7.69,7.53,5.55,7.54,6.59,-7.90,6.30e-06,1.27e-08,Poorly soluble,-9.49,1.60e-07,3.23e-10,Poorly soluble,-11.95,5.51e-10,1.11e-12,Insoluble,Low,No,Yes,No,Yes,No,No,Yes,-3.86,1,3,0,1,1,0.55,0,1,2,4.12
Molecule 10,COc1ccccc1Nc1nc(SCc2cc(=O)oc3c2cc(cc3)C(C)(C)C)nc2c1cccc2,C29H27N3O3S,497.61,36,26,0.21,7,5,1,147.09,102.55,4.79,6.94,6.93,4.81,6.54,6.00,-7.37,2.12e-05,4.27e-08,Poorly soluble,-8.91,6.17e-07,1.24e-09,Poorly soluble,-11.30,2.47e-09,4.95e-12,Insoluble,Low,No,No,No,Yes,No,Yes,Yes,-4.41,1,3,0,1,1,0.55,0,1,2,3.98
Molecule 11,O=c1cc(CSc2nc(Nc3ccncc3)c3c(n2)cccc3)c2c(o1)ccc(c2)C(C)(C)C,C27H24N4O2S,468.57,34,26,0.19,6,5,1,138.40,106.21,3.73,5.89,6.31,4.15,5.89,5.19,-6.63,1.11e-04,2.37e-07,Poorly soluble,-7.89,5.99e-06,1.28e-08,Poorly soluble,-10.84,6.82e-09,1.46e-11,Insoluble,Low,No,No,No,Yes,Yes,Yes,Yes,-4.98,0,2,0,1,1,0.55,0,1,2,3.84
Molecule 12,O=c1cc(O)c2c(o1)cccc2,C9H6O3,162.14,12,10,0.00,0,3,1,44.51,50.44,1.36,1.27,1.50,1.04,1.97,1.43,-2.26,8.87e-01,5.47e-03,Soluble,-1.93,1.91e+00,1.18e-02,Very soluble,-3.03,1.53e-01,9.42e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.39,0,1,0,0,1,0.55,0,1,1,2.63
Molecule 13,CC(=O)CC(c1c(=O)oc2c(c1O)cccc2)c1ccccc1,C19H16O4,308.33,23,16,0.16,4,4,1,88.58,67.51,2.41,2.70,3.61,2.51,4.36,3.12,-3.70,6.10e-02,1.98e-04,Soluble,-3.77,5.23e-02,1.70e-04,Soluble,-6.33,1.45e-04,4.71e-07,Poorly soluble,High,Yes,No,No,Yes,Yes,No,No,-6.26,0,0,0,0,0,0.55,0,1,0,3.79
Molecule 14,CC(=O)CC(c1c(=O)oc2c(c1O)cccc2)c1ccc(cc1)[N+](=O)[O-],C19H15NO6,353.33,26,16,0.16,5,6,1,97.40,113.33,2.05,1.98,3.52,1.55,2.19,2.26,-3.40,1.40e-01,3.95e-04,Soluble,-3.99,3.65e-02,1.03e-04,Soluble,-5.68,7.37e-04,2.08e-06,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-7.05,0,0,0,0,0,0.55,0,3,1,3.78
Molecule 15,CCOC(=O)C(c1c(=O)oc2c(c1O)cccc2)c1c(=O)oc2c(c1O)cccc2,C22H16O8,408.36,30,20,0.14,5,8,2,107.73,127.18,2.50,2.00,3.01,1.87,3.91,2.66,-3.80,6.54e-02,1.60e-04,Soluble,-4.30,2.06e-02,5.04e-05,Moderately soluble,-6.64,9.42e-05,2.31e-07,Poorly soluble,High,No,No,No,No,Yes,No,No,-7.37,0,0,0,0,0,0.55,0,1,1,3.78
Molecule 16,COCC(c1c(=O)oc2c(c1O)cccc2)c1c(=O)oc2c(c1O)cccc2,C21H16O7,380.35,28,20,0.14,4,7,2,102.72,110.11,2.90,1.38,3.09,1.69,3.97,2.61,-3.33,1.77e-01,4.65e-04,Soluble,-3.30,1.93e-01,5.06e-04,Soluble,-6.71,7.40e-05,1.95e-07,Poorly soluble,High,No,Yes,Yes,No,Yes,No,No,-7.64,0,0,0,0,0,0.55,0,1,1,3.71
Molecule 17,O=Cc1cn(nc1c1ccccc1)c1scc(n1)c1cc2cc(Br)ccc2oc1=O,C22H12BrN3O3S,478.32,30,26,0.00,4,5,0,119.24,106.23,3.55,4.73,5.34,3.27,5.91,4.56,-6.16,3.29e-04,6.87e-07,Poorly soluble,-6.69,9.76e-05,2.04e-07,Poorly soluble,-8.72,9.16e-07,1.91e-09,Poorly soluble,High,No,No,No,No,Yes,No,No,-5.86,0,0,0,0,0,0.55,0,2,2,3.59
Molecule 18,O=Cc1cn(nc1c1ccccc1)c1scc(n1)c1cc2cc(Br)cc(c2oc1=O)Br,C22H11Br2N3O3S,557.21,31,26,0.00,4,5,0,126.94,106.23,3.54,5.42,6.11,3.58,6.58,5.05,-7.07,4.79e-05,8.59e-08,Poorly soluble,-7.41,2.19e-05,3.92e-08,Poorly soluble,-9.48,1.85e-07,3.33e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.85,1,2,0,1,1,0.55,0,2,2,3.60
Molecule 19,O=Cc1cn(nc1c1ccccc1)c1scc(n1)c1cc2c(oc1=O)ccc1c2cccc1,C26H15N3O3S,449.48,33,30,0.00,4,5,0,129.04,106.23,3.45,5.29,5.73,3.35,6.23,4.81,-6.37,1.93e-04,4.28e-07,Poorly soluble,-7.27,2.41e-05,5.35e-08,Poorly soluble,-9.57,1.20e-07,2.68e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.29,0,1,0,0,1,0.55,0,3,2,3.81
Molecule 20,O=Cc1cn(nc1c1ccc(cc1)Cl)c1scc(n1)c1cc2cc(Cl)ccc2oc1=O,C22H11Cl2N3O3S,468.31,31,26,0.00,4,5,0,121.56,106.23,3.60,5.29,5.89,3.64,6.51,4.99,-6.43,1.73e-04,3.69e-07,Poorly soluble,-7.27,2.51e-05,5.35e-08,Poorly soluble,-9.11,3.64e-07,7.78e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.40,0,1,0,1,1,0.55,0,2,2,3.57
Molecule 21,O=Cc1cn(nc1c1ccc(cc1)Cl)c1scc(n1)c1cc2cc(Cl)cc(c2oc1=O)Cl,C22H10Cl3N3O3S,502.76,32,26,0.00,4,5,0,126.57,106.23,3.54,5.92,6.54,3.85,7.15,5.40,-7.02,4.76e-05,9.46e-08,Poorly soluble,-7.93,5.97e-06,1.19e-08,Poorly soluble,-9.69,1.03e-07,2.06e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.16,1,2,0,1,1,0.55,0,2,2,3.62
Molecule 22,O=Cc1cn(nc1c1ccc(cc1)Cl)c1scc(n1)c1cc2cc(Br)ccc2oc1=O,C22H11BrClN3O3S,512.76,31,26,0.00,4,5,0,124.25,106.23,3.69,5.36,6.00,3.74,6.55,5.07,-6.75,9.06e-05,1.77e-07,Poorly soluble,-7.34,2.32e-05,4.53e-08,Poorly soluble,-9.29,2.60e-07,5.07e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.62,1,2,0,1,1,0.55,0,2,2,3.57
Molecule 23,O=Cc1cn(nc1c1ccc(cc1)C)c1scc(n1)c1cc2cc(Cl)cc(c2oc1=O)Cl,C23H13Cl2N3O3S,482.34,32,26,0.04,4,5,0,126.52,106.23,3.67,5.66,6.20,3.58,7.03,5.23,-6.73,8.91e-05,1.85e-07,Poorly soluble,-7.66,1.07e-05,2.21e-08,Poorly soluble,-9.48,1.59e-07,3.30e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.22,0,2,0,1,1,0.55,0,2,2,3.73
Molecule 24,O=Cc1cn(nc1c1ccc(cc1)C)c1scc(n1)c1cc2cc(Br)cc(c2oc1=O)Br,C23H13Br2N3O3S,571.24,32,26,0.04,4,5,0,131.90,106.23,3.91,5.79,6.42,3.78,7.10,5.40,-7.37,2.46e-05,4.30e-08,Poorly soluble,-7.79,9.26e-06,1.62e-08,Poorly soluble,-9.85,8.12e-08,1.42e-10,Poorly soluble,Low,No,No,No,No,Yes,No,No,-5.67,1,3,0,1,1,0.55,0,2,2,3.71
Molecule 25,CCC(c1c(=O)oc2c(c1O)cccc2)c1ccccc1,C18H16O3,280.32,21,16,0.17,3,3,1,83.57,50.44,2.77,3.62,4.04,3.20,4.44,3.61,-4.22,1.67e-02,5.97e-05,Moderately soluble,-4.37,1.20e-02,4.30e-05,Moderately soluble,-6.39,1.14e-04,4.06e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.44,0,0,0,0,0,0.55,0,1,1,3.70
Molecule 26,OC(Cn1cncn1)COc1ccc2c(c1)oc(=O)cc2C,C15H15N3O4,301.30,22,15,0.27,5,6,1,79.08,90.38,2.06,0.89,1.13,0.84,1.71,1.33,-2.44,1.09e+00,3.60e-03,Soluble,-2.37,1.28e+00,4.24e-03,Soluble,-4.17,2.05e-02,6.79e-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.51,0,0,0,0,0,0.55,0,1,0,3.42
Molecule 27,OC(Cn1nnc2c1cccc2)COc1ccc2c(c1)oc(=O)cc2C,C19H17N3O4,351.36,26,19,0.21,5,6,1,96.59,90.38,2.55,2.00,2.29,2.16,2.73,2.35,-3.49,1.14e-01,3.24e-04,Soluble,-3.52,1.05e-01,2.99e-04,Soluble,-5.82,5.38e-04,1.53e-06,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-7.02,0,0,0,0,0,0.55,0,1,1,3.82
Molecule 28,OC(Cn1cnc2c1cccc2)COc1ccc2c(c1)oc(=O)cc2C,C20H18N2O4,350.37,26,19,0.20,5,5,1,98.79,77.49,2.50,2.32,2.89,1.97,3.29,2.59,-3.68,7.24e-02,2.07e-04,Soluble,-3.59,9.09e-02,2.59e-04,Soluble,-6.19,2.27e-04,6.49e-07,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-6.79,0,0,0,0,0,0.55,0,1,1,3.51
Molecule 29,O=c1cc(C)c2c(o1)cc(cc2)OCC(Cn1cnc2c1cc(C)c(c2)C)O,C22H22N2O4,378.42,28,19,0.27,5,5,1,108.72,77.49,2.89,3.05,3.51,2.41,4.34,3.24,-4.28,1.99e-02,5.25e-05,Moderately soluble,-4.34,1.72e-02,4.53e-05,Moderately soluble,-6.94,4.32e-05,1.14e-07,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-6.44,0,0,0,0,0,0.55,0,1,1,3.76
Molecule 30,OC(CSc1nc2c([nH]1)cccc2)COc1ccc2c(c1)oc(=O)cc2C,C20H18N2O4S,382.43,27,19,0.20,6,5,2,105.61,113.65,2.40,3.28,3.51,2.24,4.44,3.17,-4.40,1.51e-02,3.96e-05,Moderately soluble,-5.34,1.74e-03,4.56e-06,Moderately soluble,-7.10,3.04e-05,7.94e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.30,0,0,0,0,0,0.55,0,1,1,3.79
Molecule 31,OC(Cn1ncnc1)COc1cc(OCC(Cn2ncnc2)O)c2c(c1)oc(=O)cc2C,C20H22N6O6,442.43,32,20,0.35,10,10,2,110.71,150.55,2.72,-0.05,0.16,-0.11,0.57,0.66,-2.35,1.96e+00,4.43e-03,Soluble,-2.66,9.66e-01,2.18e-03,Soluble,-4.24,2.53e-02,5.71e-05,Moderately soluble,Low,No,Yes,Yes,No,No,No,Yes,-9.03,1,0,1,1,1,0.55,0,1,2,4.37
Molecule 32,O=c1cc(C)c2c(o1)cc(cc2OCC(Cn1nnc2c1cccc2)O)OCC(Cn1nnc2c1cccc2)O,C28H26N6O6,542.54,40,28,0.25,10,10,2,145.72,150.55,3.51,2.18,2.47,2.30,2.60,2.61,-4.44,1.99e-02,3.67e-05,Moderately soluble,-4.97,5.75e-03,1.06e-05,Moderately soluble,-7.48,1.78e-05,3.29e-08,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,No,-8.06,2,2,1,1,1,0.17,0,1,2,4.99
Molecule 33,O=c1cc(C)c2c(o1)cc(cc2OCC(Cn1cnc2c1cccc2)O)OCC(Cn1cnc2c1cccc2)O,C30H28N4O6,540.57,40,28,0.23,10,8,2,150.13,124.77,3.08,2.82,3.68,1.77,3.74,3.02,-4.83,8.07e-03,1.49e-05,Moderately soluble,-5.10,4.32e-03,7.99e-06,Moderately soluble,-8.23,3.18e-06,5.89e-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.60,1,2,0,0,0,0.55,0,1,2,4.76
Molecule 34,O=c1cc(C)c2c(o1)cc(cc2OCC(Cn1cnc2c1cc(C)c(c2)C)O)OCC(Cn1cnc2c1cc(C)c(c2)C)O,C34H36N4O6,596.67,44,28,0.32,10,8,2,170.00,124.77,4.49,4.28,4.91,2.51,5.91,4.42,-6.05,5.36e-04,8.98e-07,Poorly soluble,-6.61,1.46e-04,2.44e-07,Poorly soluble,-9.71,1.17e-07,1.96e-10,Poorly soluble,Low,No,Yes,Yes,No,Yes,Yes,Yes,-6.90,1,3,0,0,0,0.55,0,1,3,5.26
Molecule 35,OC(CSc1nc2c([nH]1)cccc2)COc1cc(OCC(CSc2nc3c([nH]2)cccc3)O)c2c(c1)oc(=O)cc2C,C30H28N4O6S2,604.70,42,28,0.23,12,8,4,163.77,197.09,3.25,4.74,4.92,2.30,6.04,4.25,-6.28,3.20e-04,5.29e-07,Poorly soluble,-8.61,1.49e-06,2.46e-09,Poorly soluble,-10.02,5.77e-08,9.55e-11,Insoluble,Low,No,Yes,No,No,Yes,No,Yes,-6.62,1,2,2,1,2,0.55,0,1,3,5.06
Molecule 36,O/N=C(\c1c(Cl)c(=O)oc2c1cccc2)/Nc1ccccc1,C16H11ClN2O3,314.72,22,16,0.00,3,4,2,85.70,74.83,2.23,3.56,3.50,3.37,3.41,3.22,-4.37,1.33e-02,4.22e-05,Moderately soluble,-4.82,4.80e-03,1.52e-05,Moderately soluble,-6.30,1.59e-04,5.06e-07,Poorly soluble,High,Yes,No,Yes,No,No,No,No,-5.69,0,0,0,0,0,0.55,0,5,1,2.91
Molecule 37,O/N=C(\c1c(Cl)c(=O)oc2c1cccc2)/Nc1ccc(cc1)C,C17H13ClN2O3,328.75,23,16,0.06,3,4,2,90.67,74.83,2.70,3.92,3.81,3.61,3.92,3.59,-4.66,7.12e-03,2.16e-05,Moderately soluble,-5.19,2.12e-03,6.45e-06,Moderately soluble,-6.68,6.93e-05,2.11e-07,Poorly soluble,High,Yes,No,Yes,No,Yes,No,No,-5.52,0,0,0,0,0,0.55,0,5,1,3.01
Molecule 38,O/N=C(\c1c(Cl)c(=O)oc2c1cccc2)/NC1CCCCC1,C16H17ClN2O3,320.77,22,10,0.38,3,4,2,86.40,74.83,2.59,3.81,3.50,3.33,3.51,3.35,-4.37,1.38e-02,4.29e-05,Moderately soluble,-5.08,2.69e-03,8.39e-06,Moderately soluble,-5.21,1.97e-03,6.14e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.55,0,0,0,0,0,0.55,0,5,1,3.07
Molecule 39,OCC/C(=N/O)/c1c(Cl)c(=O)oc2c1cccc2,C12H10ClNO4,267.67,18,10,0.17,3,5,2,67.65,83.03,1.73,1.66,2.01,1.24,2.85,1.90,-2.76,4.67e-01,1.74e-03,Soluble,-3.02,2.57e-01,9.61e-04,Soluble,-3.98,2.79e-02,1.04e-04,Soluble,High,No,No,No,No,No,No,No,-6.75,0,0,0,0,0,0.55,0,4,0,2.89
Molecule 40,CC(=O)O/N=C(\c1cc(=O)oc2c1cccc2)/N,C12H10N2O4,246.22,18,10,0.08,3,5,1,64.74,94.89,1.58,0.87,0.98,1.70,1.66,1.36,-2.13,1.83e+00,7.45e-03,Soluble,-2.45,8.80e-01,3.58e-03,Soluble,-3.43,9.19e-02,3.73e-04,Soluble,High,No,No,No,No,No,No,No,-7.18,0,0,0,0,0,0.55,0,5,1,3.09
Molecule 41,O=c1cc(/C=N\Nc2ccccc2)c2c(o1)cccc2,C16H12N2O2,264.28,20,16,0.00,3,3,1,79.96,54.60,2.36,3.24,3.05,2.61,3.56,2.96,-3.91,3.22e-02,1.22e-04,Soluble,-4.06,2.30e-02,8.71e-05,Moderately soluble,-6.28,1.40e-04,5.31e-07,Poorly soluble,High,Yes,No,Yes,Yes,No,No,No,-5.61,0,0,0,0,0,0.55,0,2,0,3.06
Molecule 42,O=c1oc2ccccc2c(c1)c1nocn1,C11H6N2O3,214.18,16,15,0.00,1,5,0,55.78,69.13,1.99,1.34,1.84,1.38,2.36,1.78,-2.64,4.91e-01,2.29e-03,Soluble,-2.39,8.66e-01,4.04e-03,Soluble,-4.60,5.33e-03,2.49e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.66,0,0,0,0,0,0.55,0,1,1,2.84
Molecule 43,O=c1oc2ccccc2c(c1)c1noc(n1)C,C12H8N2O3,228.20,17,15,0.08,1,5,0,60.74,69.13,2.36,1.74,2.15,1.66,2.82,2.15,-2.94,2.63e-01,1.15e-03,Soluble,-2.81,3.55e-01,1.55e-03,Soluble,-4.99,2.32e-03,1.02e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.46,0,0,0,0,0,0.55,0,1,1,2.98
Molecule 44,O=c1oc2ccccc2c(c1)c1noc(n1)c1ccccc1,C17H10N2O3,290.27,22,21,0.00,2,5,0,81.21,69.13,2.96,3.00,3.51,3.00,3.83,3.26,-4.10,2.28e-02,7.87e-05,Moderately soluble,-4.12,2.22e-02,7.66e-05,Moderately soluble,-7.11,2.27e-05,7.82e-08,Poorly soluble,High,Yes,No,Yes,Yes,No,No,No,-5.94,0,0,0,0,0,0.55,0,1,0,3.29
Molecule 45,COc1ccc(cc1)c1onc(n1)c1cc(=O)oc2c1cccc2,C18H12N2O4,320.30,24,21,0.06,3,6,0,87.70,78.36,3.30,2.97,3.52,2.69,3.84,3.27,-4.15,2.29e-02,7.14e-05,Moderately soluble,-4.28,1.69e-02,5.26e-05,Moderately soluble,-7.22,1.93e-05,6.01e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.15,0,0,0,0,0,0.55,0,1,0,3.25
Molecule 46,O=c1oc2ccccc2c(c1)C1=NOCN1,C11H8N2O3,216.19,16,10,0.09,1,4,1,64.96,63.83,1.43,1.16,0.27,1.90,2.49,1.45,-2.31,1.06e+00,4.92e-03,Soluble,-2.10,1.74e+00,8.03e-03,Soluble,-4.00,2.19e-02,1.01e-04,Soluble,High,No,No,Yes,No,No,No,No,-6.80,0,0,0,0,0,0.55,0,1,1,2.93
