Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 47,CC1ON=C(N1)c1cc(=O)oc2c1cccc2,C12H10N2O3,230.22,17,10,0.17,1,4,1,69.76,63.83,1.79,1.59,0.66,2.18,2.53,1.75,-2.64,5.29e-01,2.30e-03,Soluble,-2.54,6.62e-01,2.87e-03,Soluble,-4.15,1.62e-02,7.05e-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,1,3.51
Molecule 48,O=c1oc2ccccc2c(c1)C1=NOCN1c1ccccc1,C17H12N2O3,292.29,22,16,0.06,2,4,0,90.09,55.04,2.40,2.90,2.19,3.51,3.38,2.88,-3.89,3.81e-02,1.30e-04,Soluble,-3.72,5.62e-02,1.92e-04,Soluble,-5.78,4.83e-04,1.65e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.02,0,0,0,0,0,0.55,0,1,0,3.22
Molecule 49,O=c1oc2ccccc2c(c1)C1=NOC(N1c1ccccc1)C,C18H14N2O3,306.32,23,16,0.11,2,4,0,94.90,55.04,2.65,3.33,2.58,3.75,3.46,3.15,-4.22,1.85e-02,6.03e-05,Moderately soluble,-4.16,2.11e-02,6.88e-05,Moderately soluble,-5.93,3.58e-04,1.17e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.80,0,0,0,0,0,0.55,0,1,0,3.81
Molecule 50,O=c1oc2ccccc2c(c1)c1noc(=S)n1c1ccccc1,C17H10N2O3S,322.34,23,21,0.00,2,4,0,88.14,93.26,2.69,3.47,3.97,2.93,4.36,3.48,-4.57,8.71e-03,2.70e-05,Moderately soluble,-5.11,2.50e-03,7.75e-06,Moderately soluble,-6.38,1.35e-04,4.20e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,No,-5.80,0,0,0,0,0,0.55,0,2,0,3.21
Molecule 51,O=c1oc2ccccc2c(c1)C1=NOS(=O)N1c1ccccc1,C16H10N2O4S,326.33,23,16,0.00,2,5,0,93.57,91.32,2.44,2.55,2.67,3.20,1.97,2.57,-3.85,4.58e-02,1.40e-04,Soluble,-4.12,2.50e-02,7.67e-05,Moderately soluble,-5.50,1.02e-03,3.13e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,0,3.81
Molecule 52,COc1ccc(cc1)c1noc(n1)c1cc(=O)oc2c1cccc2,C18H12N2O4,320.30,24,21,0.06,3,6,0,87.70,78.36,3.23,2.97,3.52,2.29,3.84,3.17,-4.15,2.29e-02,7.14e-05,Moderately soluble,-4.28,1.69e-02,5.26e-05,Moderately soluble,-7.22,1.93e-05,6.01e-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.15,0,0,0,0,0,0.55,0,1,0,3.30
Molecule 53,COc1ccc(cc1)C1=NOC(O1)c1cc(=O)oc2c1cccc2,C18H13NO5,323.30,24,16,0.11,3,6,0,90.30,70.26,3.06,3.06,2.50,3.20,3.88,3.14,-4.07,2.77e-02,8.56e-05,Moderately soluble,-4.20,2.03e-02,6.28e-05,Moderately soluble,-6.07,2.76e-04,8.55e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.10,0,0,0,0,0,0.55,0,1,0,4.11
Molecule 54,O=c1ccc2c(o1)cccc2,C9H6O2,146.14,11,10,0.00,0,2,0,42.48,30.21,1.75,1.39,1.79,1.65,2.50,1.82,-2.29,7.42e-01,5.08e-03,Soluble,-1.63,3.44e+00,2.35e-02,Very soluble,-3.59,3.77e-02,2.58e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.20,0,2,0,0,1,0.55,0,1,1,2.74
Molecule 55,OC(=O)C/N=C/1\Nc2c(\C1=N/c1cc3ccccc3oc1=O)cccc2,C19H13N3O4,347.32,26,16,0.05,3,6,2,101.38,104.26,1.75,1.39,2.25,1.65,2.50,1.82,-2.29,7.42e-01,5.08e-03,Soluble,-1.63,3.44e+00,2.35e-02,Very soluble,-3.59,3.77e-02,2.58e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.20,0,2,0,0,1,0.55,0,1,1,2.74
Molecule 56,CN(c1ccc(cc1)c1ccc(s1)C(=O)/C=C/c1cc2ccc(cc2oc1=O)N(C)C)C,C26H24N2O3S,444.55,32,21,0.15,6,3,0,134.02,82.00,4.08,5.61,5.44,3.21,6.05,4.88,-6.22,2.68e-04,6.02e-07,Poorly soluble,-7.09,3.57e-05,8.04e-08,Poorly soluble,-8.05,3.92e-06,8.81e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.03,0,1,0,0,1,0.55,0,2,2,4.23
Molecule 57,CCN(c1ccc(cc1)c1ccc(s1)C(=O)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,C30H32N2O3S,500.65,36,21,0.27,10,3,0,153.25,82.00,5.06,7.08,7.00,4.00,7.68,6.16,-7.18,3.34e-05,6.67e-08,Poorly soluble,-8.62,1.20e-06,2.40e-09,Poorly soluble,-9.62,1.21e-07,2.43e-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,Yes,-4.33,1,3,0,1,1,0.55,0,2,3,4.65
Molecule 58,O=c1ccc2c(o1)cc1c(c2)cco1,C11H6O3,186.16,14,13,0.00,0,3,0,52.26,43.35,2.01,1.67,2.54,1.48,2.91,2.12,-2.73,3.44e-01,1.85e-03,Soluble,-2.19,1.19e+00,6.39e-03,Soluble,-4.50,5.87e-03,3.16e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.25,0,0,0,0,1,0.55,0,1,1,3.06
Molecule 59,COc1c2oc(=O)ccc2cc2c1occ2,C12H8O4,216.19,16,13,0.08,1,4,0,58.75,52.58,2.22,2.00,2.55,1.18,2.88,2.16,-2.98,2.29e-01,1.06e-03,Soluble,-2.73,4.02e-01,1.86e-03,Soluble,-4.63,5.01e-03,2.32e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.20,0,0,0,0,0,0.55,0,1,1,2.97
Molecule 60,COc1c2ccc(=O)oc2cc2c1cco2,C12H8O4,216.19,16,13,0.08,1,4,0,58.75,52.58,2.29,1.93,2.55,1.18,2.88,2.16,-2.93,2.53e-01,1.17e-03,Soluble,-2.66,4.75e-01,2.20e-03,Soluble,-4.63,5.01e-03,2.32e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.25,0,0,0,0,0,0.55,0,1,1,2.90
Molecule 61,Cc1cc2c(o1)c(C)c1c(c2)c(C)cc(=O)o1,C14H12O3,228.24,17,13,0.21,0,3,0,67.15,43.35,2.72,3.14,3.46,2.29,4.32,3.19,-3.80,3.62e-02,1.59e-04,Soluble,-3.72,4.35e-02,1.91e-04,Soluble,-5.67,4.88e-04,2.14e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.46,0,0,0,0,0,0.55,0,1,1,3.27
Molecule 62,Brc1ccc2c(c1)cc(c(=O)o2)C1=NN2C(=N[N]C2c2ccccc2)SC1,C19H12BrN4O2S,440.29,27,16,0.11,2,5,0,124.01,83.47,-3.33,4.89,2.05,3.84,4.25,2.34,-5.96,4.86e-04,1.10e-06,Moderately soluble,-6.38,1.84e-04,4.18e-07,Poorly soluble,-7.30,2.20e-05,5.00e-08,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.51,0,0,0,0,0,0.55,0,1,2,4.40
Molecule 63,Brc1cccc(c1)C1[N]N=C2N1N=C(CS2)c1cc2cc(Br)ccc2oc1=O,C19H11Br2N4O2S,519.19,28,16,0.11,2,5,0,131.71,83.47,-2.30,5.59,2.81,4.44,4.92,3.09,-6.87,6.98e-05,1.34e-07,Poorly soluble,-7.10,4.08e-05,7.86e-08,Poorly soluble,-8.07,4.45e-06,8.57e-09,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.50,2,2,0,0,1,0.17,0,1,2,4.42
Molecule 64,Brc1ccc(cc1)C1[N]N=C2N1N=C(CS2)c1cc2cc(Br)ccc2oc1=O,C19H11Br2N4O2S,519.19,28,16,0.11,2,5,0,131.71,83.47,-2.53,5.59,2.81,4.44,4.92,3.05,-6.87,6.98e-05,1.34e-07,Poorly soluble,-7.10,4.08e-05,7.86e-08,Poorly soluble,-8.07,4.45e-06,8.57e-09,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.50,2,2,0,0,1,0.17,0,1,2,4.40
Molecule 65,Brc1ccc2c(c1)cc(c(=O)o2)C1=NN2C(=N[N]C2c2ccccc2O)SC1,C19H12BrN4O3S,456.29,28,16,0.11,2,6,1,126.03,103.70,-3.09,4.54,1.75,3.31,3.76,2.05,-5.82,6.91e-04,1.51e-06,Moderately soluble,-6.44,1.66e-04,3.63e-07,Poorly soluble,-6.71,8.90e-05,1.95e-07,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.86,0,0,0,0,0,0.55,1,1,2,4.37
Molecule 66,Oc1ccc(cc1)C1[N]N=C2N1N=C(CS2)c1cc2cc(Br)ccc2oc1=O,C19H12BrN4O3S,456.29,28,16,0.11,2,6,1,126.03,103.70,-3.35,4.54,1.75,3.31,3.76,2.00,-5.82,6.91e-04,1.51e-06,Moderately soluble,-6.44,1.66e-04,3.63e-07,Poorly soluble,-6.71,8.90e-05,1.95e-07,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.86,0,0,0,0,0,0.55,0,1,2,4.38
Molecule 67,Clc1ccc(cc1)C1[N]N=C2N1N=C(CS2)c1cc2cc(Br)ccc2oc1=O,C19H11BrClN4O2S,474.74,28,16,0.11,2,5,0,129.02,83.47,-2.57,5.52,2.70,4.33,4.88,2.97,-6.55,1.33e-04,2.81e-07,Poorly soluble,-7.03,4.41e-05,9.29e-08,Poorly soluble,-7.88,6.23e-06,1.31e-08,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.28,1,0,0,0,1,0.55,0,1,2,4.38
Molecule 68,Cc1ccc(cc1)C1[N]N=C2N1N=C(CS2)c1cc2cc(Br)ccc2oc1=O,C20H14BrN4O2S,454.32,28,16,0.15,2,5,0,128.97,83.47,-2.91,5.26,2.36,4.06,4.75,2.70,-6.26,2.49e-04,5.48e-07,Poorly soluble,-6.76,7.85e-05,1.73e-07,Poorly soluble,-7.67,9.62e-06,2.12e-08,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.34,0,0,0,0,1,0.55,0,1,2,4.51
Molecule 69,Brc1ccc2c(c1)cc(c(=O)o2)C1=NN2C(=N[N]C2c2ccncc2)SC1,C18H11BrN5O2S,441.28,27,16,0.11,2,6,0,121.80,96.36,-3.35,3.82,1.44,2.82,3.69,1.68,-5.29,2.27e-03,5.14e-06,Moderately soluble,-5.54,1.28e-03,2.89e-06,Moderately soluble,-6.93,5.21e-05,1.18e-07,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-6.28,0,0,0,0,0,0.55,0,1,2,4.31
Molecule 70,Clc1ccc(cc1)OCC1[N]N=C2N1N=C(CS2)c1cc2cc(Br)ccc2oc1=O,C20H13BrClN4O3S,504.76,30,16,0.15,4,6,0,135.35,92.70,-2.35,5.73,2.73,3.75,4.79,2.93,-6.71,9.84e-05,1.95e-07,Poorly soluble,-7.44,1.82e-05,3.60e-08,Poorly soluble,-7.99,5.12e-06,1.01e-08,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.31,1,2,0,0,1,0.55,0,1,2,4.44
Molecule 71,Clc1ccc(c(c1)Cl)OCC1[N]N=C2N1N=C(CS2)c1cc2cc(Br)ccc2oc1=O,C20H12BrCl2N4O3S,539.21,31,16,0.15,4,6,0,140.36,92.70,-2.38,6.35,3.39,4.23,5.43,3.40,-7.30,2.69e-05,4.99e-08,Poorly soluble,-8.09,4.41e-06,8.18e-09,Poorly soluble,-8.57,1.45e-06,2.70e-09,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-5.08,2,2,0,0,1,0.17,0,1,2,4.47
Molecule 72,CCOP(=O)(c1c(C(Nc2ccc3c(c2)OCCO3)C)c(=O)oc2c1cccc2)OCC,C23H26NO7P,459.43,32,16,0.35,8,7,1,122.71,106.04,4.03,3.08,4.11,1.92,3.81,3.39,-4.47,1.55e-02,3.38e-05,Moderately soluble,-4.97,4.88e-03,1.06e-05,Moderately soluble,-7.60,1.16e-05,2.54e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.92,0,0,0,0,0,0.55,1,2,2,4.85
Molecule 73,CCOP(=O)(c1c(C(NCCc2ccc(cc2)OC)C)c(=O)oc2c1cccc2)OCC,C24H30NO6P,459.47,32,16,0.38,11,7,1,126.40,96.81,3.83,3.73,4.26,2.38,4.58,3.76,-4.68,9.54e-03,2.08e-05,Moderately soluble,-5.45,1.61e-03,3.51e-06,Moderately soluble,-8.50,1.45e-06,3.16e-09,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.45,0,0,1,0,0,0.55,0,2,3,4.95
Molecule 74,CCOP(=O)(c1c(C(Nc2cccc3c2cccc3)C)c(=O)oc2c1cccc2)OCC,C25H26NO5P,451.45,32,20,0.24,8,5,1,129.34,87.58,3.84,4.61,5.50,3.21,4.75,4.38,-5.48,1.50e-03,3.33e-06,Moderately soluble,-6.17,3.02e-04,6.70e-07,Poorly soluble,-9.25,2.55e-07,5.65e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.78,0,0,0,0,0,0.55,0,2,3,4.87
Molecule 75,CCOP(=O)(c1c(C(NCc2ccc(cc2)F)C)c(=O)oc2c1cccc2)OCC,C22H25FNO5P,433.41,30,16,0.32,9,7,1,115.06,87.58,3.64,3.40,4.62,2.87,4.52,3.81,-4.47,1.47e-02,3.39e-05,Moderately soluble,-4.92,5.23e-03,1.21e-05,Moderately soluble,-8.27,2.31e-06,5.32e-09,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.53,0,0,0,0,0,0.55,0,2,2,4.81
Molecule 76,CCOC(=O)c1c(cnc2c1cccc2)c1ccc(cc1)NC(c1c(=O)oc2c(c1P(=O)(OCC)OCC)cccc2)C,C33H33N2O7P,600.60,43,26,0.24,12,8,1,168.66,126.77,4.89,5.47,6.73,3.48,6.23,5.36,-6.67,1.30e-04,2.16e-07,Poorly soluble,-7.89,7.74e-06,1.29e-08,Poorly soluble,-11.70,1.21e-09,2.01e-12,Insoluble,Low,No,No,Yes,No,Yes,No,Yes,-6.08,1,4,1,1,2,0.55,0,2,3,5.43
Molecule 77,O=C(c1ccccc1)NCc1nnn(c1)c1cc2ccccc2oc1=O,C19H14N4O3,346.34,26,21,0.05,5,5,1,94.88,90.02,2.52,2.35,2.15,2.19,2.38,2.32,-3.74,6.37e-02,1.84e-04,Soluble,-3.88,4.56e-02,1.32e-04,Soluble,-6.65,7.68e-05,2.22e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,No,-6.74,0,0,0,0,0,0.55,0,1,0,3.18
Molecule 78,O=C(c1ccccc1O)NCc1nnn(c1)c1cc2ccccc2oc1=O,C19H14N4O4,362.34,27,21,0.05,5,6,2,96.91,110.25,1.89,2.55,1.86,1.67,1.90,1.97,-3.94,4.17e-02,1.15e-04,Soluble,-4.51,1.11e-02,3.07e-05,Moderately soluble,-6.07,3.10e-04,8.55e-07,Poorly soluble,High,No,No,No,No,No,No,No,-6.70,0,0,0,0,0,0.55,0,1,1,3.21
Molecule 79,O=C(Cc1ccccc1[N+](=O)[O-])NCc1nnn(c1)c1cc2ccccc2oc1=O,C20H15N5O5,405.36,30,21,0.10,7,7,1,108.29,135.84,1.95,2.12,1.99,1.30,0.60,1.59,-3.74,7.29e-02,1.80e-04,Soluble,-4.60,1.01e-02,2.49e-05,Moderately soluble,-6.39,1.64e-04,4.05e-07,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-7.27,0,0,0,1,0,0.55,0,3,1,3.43
Molecule 80,COc1cc(ccc1O)C(=O)NCc1nnn(c1)c1cc2ccccc2oc1=O,C20H16N4O5,392.36,29,21,0.10,6,7,2,103.40,119.48,2.53,1.97,1.87,1.39,1.96,1.94,-3.65,8.71e-02,2.22e-04,Soluble,-4.10,3.08e-02,7.86e-05,Moderately soluble,-6.17,2.64e-04,6.73e-07,Poorly soluble,High,No,No,No,No,Yes,No,Yes,-7.29,0,0,0,0,0,0.55,0,1,1,3.34
Molecule 81,COc1cc(/C=C/C(=O)NCc2nnn(c2)c2cc3ccccc3oc2=O)ccc1O,C22H18N4O5,418.40,31,21,0.09,7,7,2,113.11,119.48,2.75,2.39,2.16,1.49,2.56,2.27,-3.98,4.39e-02,1.05e-04,Soluble,-4.54,1.21e-02,2.88e-05,Moderately soluble,-6.24,2.41e-04,5.77e-07,Poorly soluble,High,No,No,No,No,Yes,No,No,-7.16,0,0,0,0,0,0.55,0,2,1,3.62
Molecule 82,O=C(c1ccccc1)OCc1nnn(c1)c1cc2ccccc2oc1=O,C19H13N3O4,347.32,26,21,0.05,5,6,0,93.17,87.22,2.76,2.93,2.58,2.60,2.70,2.72,-4.11,2.71e-02,7.82e-05,Moderately soluble,-4.42,1.31e-02,3.77e-05,Moderately soluble,-6.34,1.58e-04,4.55e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,No,-6.34,0,0,0,0,0,0.55,0,1,0,3.28
Molecule 83,O=C(c1ccccc1O)OCc1nnn(c1)c1cc2ccccc2oc1=O,C19H13N3O5,363.32,27,21,0.05,5,7,1,95.19,107.45,2.34,3.12,2.28,2.08,2.22,2.41,-4.30,1.81e-02,4.97e-05,Moderately soluble,-5.05,3.27e-03,9.01e-06,Moderately soluble,-5.76,6.37e-04,1.75e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,No,-6.30,0,0,0,0,0,0.55,0,1,1,3.29
Molecule 84,O=C(Cc1ccccc1[N+](=O)[O-])OCc1nnn(c1)c1cc2ccccc2oc1=O,C20H14N4O6,406.35,30,21,0.10,7,8,0,106.58,133.04,2.16,2.69,2.42,1.71,0.92,1.98,-4.11,3.15e-02,7.76e-05,Moderately soluble,-5.14,2.97e-03,7.30e-06,Moderately soluble,-6.08,3.37e-04,8.30e-07,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.87,0,0,0,1,0,0.55,0,3,1,3.52
Molecule 85,COc1cc(ccc1O)C(=O)OCc1nnn(c1)c1cc2ccccc2oc1=O,C20H15N3O6,393.35,29,21,0.10,6,8,1,101.68,116.68,2.88,2.54,2.29,1.80,2.27,2.36,-4.02,3.77e-02,9.58e-05,Moderately soluble,-4.64,9.07e-03,2.31e-05,Moderately soluble,-5.86,5.43e-04,1.38e-06,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.90,0,0,0,0,0,0.55,0,1,1,3.45
Molecule 86,COc1cc(/C=C/C(=O)OCc2nnn(c2)c2cc3ccccc3oc2=O)ccc1O,C22H17N3O6,419.39,31,21,0.09,7,8,1,111.39,116.68,3.15,2.97,2.58,1.90,2.88,2.70,-4.35,1.87e-02,4.46e-05,Moderately soluble,-5.08,3.46e-03,8.25e-06,Moderately soluble,-5.93,4.96e-04,1.18e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,No,-6.75,0,0,0,0,0,0.55,0,2,1,3.66
Molecule 87,COc1c(OC)cc(cc1OC)CN/C(=C\1/C(=O)Oc2c(C1=O)cccc2)/C,C21H21NO6,383.39,28,12,0.24,6,6,1,101.93,83.09,3.48,3.95,2.73,1.17,3.66,3.00,-4.63,9.06e-03,2.36e-05,Moderately soluble,-5.40,1.54e-03,4.03e-06,Moderately soluble,-6.46,1.34e-04,3.51e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.83,0,0,0,0,0,0.55,0,3,2,3.42
Molecule 88,COc1ccc(cc1OC)CN/C(=C\1/C(=O)Oc2c(C1=O)cccc2)/C,C20H19NO5,353.37,26,12,0.20,5,5,1,95.43,73.86,3.24,3.98,2.72,1.48,3.59,3.00,-4.55,9.96e-03,2.82e-05,Moderately soluble,-5.23,2.07e-03,5.86e-06,Moderately soluble,-6.35,1.58e-04,4.47e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.63,0,0,0,0,0,0.55,0,3,2,3.25
Molecule 89,COc1ccc(c(c1)OC)CN/C(=C\1/C(=O)Oc2c(C1=O)cccc2)/C,C20H19NO5,353.37,26,12,0.20,5,5,1,95.43,73.86,3.26,3.98,2.72,1.48,3.59,3.00,-4.55,9.96e-03,2.82e-05,Moderately soluble,-5.23,2.07e-03,5.86e-06,Moderately soluble,-6.35,1.58e-04,4.47e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.63,0,0,0,0,0,0.55,0,3,2,3.30
Molecule 90,COc1c(OC)cc(cc1OC)CN/C(=C\1/C(=O)Oc2c(C1=O)cccc2)/c1ccccc1,C26H23NO6,445.46,33,18,0.15,7,6,1,122.40,83.09,3.77,5.21,3.86,2.01,4.74,3.92,-5.83,6.65e-04,1.49e-06,Moderately soluble,-6.70,8.84e-05,1.98e-07,Poorly soluble,-8.53,1.32e-06,2.96e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.32,0,0,0,0,1,0.55,0,3,2,3.81
Molecule 91,COc1ccc(cc1OC)CN/C(=C\1/C(=O)Oc2c(C1=O)cccc2)/c1ccccc1,C25H21NO5,415.44,31,18,0.12,6,5,1,115.91,73.86,3.57,5.24,3.85,2.33,4.67,3.93,-5.75,7.38e-04,1.78e-06,Moderately soluble,-6.54,1.20e-04,2.89e-07,Poorly soluble,-8.43,1.54e-06,3.72e-09,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.11,0,0,0,0,1,0.55,0,3,2,3.64
Molecule 92,COc1ccc(c(c1)OC)CN/C(=C\1/C(=O)Oc2c(C1=O)cccc2)/c1ccccc1,C25H21NO5,415.44,31,18,0.12,6,5,1,115.91,73.86,3.74,5.24,3.85,2.33,4.67,3.97,-5.75,7.38e-04,1.78e-06,Moderately soluble,-6.54,1.20e-04,2.89e-07,Poorly soluble,-8.43,1.54e-06,3.72e-09,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.11,0,0,0,0,1,0.55,0,3,2,3.68
Molecule 93,COc1c(OC)cc(cc1OC)CN/C=C\1/C(=O)Oc2c(C1=O)cccc2,C20H19NO6,369.37,27,12,0.20,6,6,1,97.12,83.09,3.25,3.58,2.34,0.95,3.42,2.71,-4.32,1.77e-02,4.80e-05,Moderately soluble,-5.01,3.60e-03,9.75e-06,Moderately soluble,-6.08,3.08e-04,8.34e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.01,0,0,0,0,0,0.55,0,3,2,3.27
Molecule 94,COc1ccc(cc1OC)CN/C=C\1/C(=O)Oc2c(C1=O)cccc2,C19H17NO5,339.34,25,12,0.16,5,5,1,90.63,73.86,3.14,3.61,2.33,1.25,3.35,2.74,-4.24,1.94e-02,5.71e-05,Moderately soluble,-4.85,4.81e-03,1.42e-05,Moderately soluble,-5.97,3.62e-04,1.07e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.81,0,0,0,0,0,0.55,0,3,1,3.09
Molecule 95,COc1ccc(c(c1)OC)CN/C=C\1/C(=O)Oc2c(C1=O)cccc2,C19H17NO5,339.34,25,12,0.16,5,5,1,90.63,73.86,3.23,3.61,2.33,1.25,3.35,2.75,-4.24,1.94e-02,5.71e-05,Moderately soluble,-4.85,4.81e-03,1.42e-05,Moderately soluble,-5.97,3.62e-04,1.07e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.81,0,0,0,0,0,0.55,0,3,1,3.15
