ScaffoldCode,Compound_ID,Canonical_SMILES,scaffold_smiles,logP_median,TPSA,external_role,Tier
S1,CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.304,77.99,NONE,GOLD
S1,CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.112,77.99,NONE,GOLD
S1,CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.059,77.99,NONE,GOLD
S1,CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.002,77.99,NONE,GOLD
S1,CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.067,77.99,NONE,GOLD
S1,CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.602,77.99,NONE,GOLD
S1,CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,3.336,77.99,NONE,GOLD
S10,CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,3.22,199.96,OOD,STRICT
S10,CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,3.01,218.42,OOD,STRICT
S10,CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,2.97,218.42,OOD,STRICT
S2,CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.412,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_064,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC(Br)=CC=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.63,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_065,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Br)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.58,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_066,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=C(O)C=CC=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,0.826,92.5,EXT_B,EXTENDED
S2,CMR_GOLD_067,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(O)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,0.645,92.5,EXT_B,EXTENDED
S2,CMR_GOLD_068,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(Cl)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.501,72.27,EXT_B,EXTENDED
S2,CMR_GOLD_069,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=C(C)C=C5,O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,1.806,72.27,EXT_B,EXTENDED
S3,CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,1.498,83.09,EXT_A,EXTENDED
S3,CMR_GOLD_089,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C(OC)=C3,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,1.503,73.86,EXT_A,EXTENDED
S3,CMR_GOLD_090,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC=C(OC)C=C3OC,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,2.152,73.86,EXT_A,EXTENDED
S3,CMR_GOLD_094,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C(OC)=C3,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,1.295,83.09,EXT_A,EXTENDED
S3,CMR_GOLD_095,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC(OC)=C(OC)C=C3,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,2.454,73.86,EXT_A,EXTENDED
S3,CMR_GOLD_096,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C/NCC3=CC=C(OC)C=C3OC,O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,1.443,73.86,EXT_A,EXTENDED
S4,CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,4.88,68.02,NONE,STRICT
S4,CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,5.04,68.02,NONE,STRICT
S4,CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,5.03,68.02,NONE,STRICT
S4,CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,4.76,77.25,NONE,STRICT
S5,CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,O=c1ccc2cc3ccoc3cc2o1,1.67,43.35,NONE,STRICT
S5,CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,O=c1ccc2cc3ccoc3cc2o1,1.93,52.58,NONE,STRICT
S5,CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,O=c1ccc2cc3ccoc3cc2o1,2.0,52.58,NONE,STRICT
S5,CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,O=c1ccc2cc3ccoc3cc2o1,3.14,43.35,NONE,STRICT
S6,CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,O=c1ccc2ccccc2o1,2.37,50.44,NONE,STRICT
S6,CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,O=c1ccc2ccccc2o1,0.22,83.03,NONE,STRICT
S6,CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,O=c1ccc2ccccc2o1,1.0,94.89,NONE,STRICT
S6,CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,O=c1ccc2ccccc2o1,1.39,30.21,NONE,STRICT
S7,CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,2.25,90.02,NONE,GOLD
S7,CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,2.02,110.25,NONE,GOLD
S7,CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,1.95,119.48,NONE,GOLD
S8,CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,2.38,87.22,NONE,GOLD
S8,CMR_GOLD_084,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,2.65,107.45,NONE,GOLD
S8,CMR_GOLD_086,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,2.61,116.68,NONE,GOLD
S9,CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,1.718,83.09,EXT_A,EXTENDED
S9,CMR_GOLD_092,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC=C(OC)C(OC)=C4,O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,1.779,73.86,EXT_A,EXTENDED
S9,CMR_GOLD_093,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=C(OC)C=C(OC)C=C4,O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,2.288,73.86,EXT_A,EXTENDED
