model,perm_i,is_real,RMSE,MAE,CCC
Hybrid-XGB (ECFP2048 r=2 + PhysChem),0,True,0.8253255763813561,0.6395985521849956,0.6391594894330583
Hybrid-XGB (ECFP2048 r=2 + PhysChem),1,False,1.6598731052289064,1.3433455510316838,-0.3034108281564246
Hybrid-XGB (ECFP2048 r=2 + PhysChem),2,False,1.2780846613742969,1.0459451081802162,0.1863453634245303
Hybrid-XGB (ECFP2048 r=2 + PhysChem),3,False,1.2352358795650633,0.9866070998076817,0.22863598175702343
Hybrid-XGB (ECFP2048 r=2 + PhysChem),4,False,1.3500816578968668,1.111807061634247,0.17319478598287769
Hybrid-XGB (ECFP2048 r=2 + PhysChem),5,False,1.414962753591852,1.201067126550989,0.015923312779367545
Hybrid-XGB (ECFP2048 r=2 + PhysChem),6,False,1.7563078096601508,1.453629947588005,-0.15314670525993834
Hybrid-XGB (ECFP2048 r=2 + PhysChem),7,False,1.6031800890779386,1.2579393304250004,-0.25854267629507294
Hybrid-XGB (ECFP2048 r=2 + PhysChem),8,False,1.4506369737508453,1.1860306572926176,0.08884304441231547
Hybrid-XGB (ECFP2048 r=2 + PhysChem),9,False,1.5314828662966027,1.1830106612391,-0.0661558697870562
Hybrid-XGB (ECFP2048 r=2 + PhysChem),10,False,1.3430051286527522,1.1271022071085395,0.10105807827384468
Hybrid-XGB (ECFP2048 r=2 + PhysChem),11,False,1.4696118464423071,1.1822134959348216,-0.041975200872025574
Hybrid-XGB (ECFP2048 r=2 + PhysChem),12,False,1.2996807718324457,1.05516366571505,0.17908260759336367
Hybrid-XGB (ECFP2048 r=2 + PhysChem),13,False,1.4304679842014136,1.1324629008195164,0.02767625429667404
Hybrid-XGB (ECFP2048 r=2 + PhysChem),14,False,1.5830048819610452,1.2385303412501105,-0.09949448900258627
Hybrid-XGB (ECFP2048 r=2 + PhysChem),15,False,1.3352173852657265,1.1185179925811948,0.11027362594996808
Hybrid-XGB (ECFP2048 r=2 + PhysChem),16,False,1.713817185516266,1.389288000720438,-0.21414964586200363
Hybrid-XGB (ECFP2048 r=2 + PhysChem),17,False,1.3803485350668372,1.0301251725284346,0.04959991544044458
Hybrid-XGB (ECFP2048 r=2 + PhysChem),18,False,1.2305414391536913,0.9865144276150242,0.1826082421736761
Hybrid-XGB (ECFP2048 r=2 + PhysChem),19,False,1.4915720278474796,1.1866640894819356,0.0065324465043919535
Hybrid-XGB (ECFP2048 r=2 + PhysChem),20,False,1.417147858830291,1.1454617228848856,-0.11329020001208882
Hybrid-XGB (ECFP2048 r=2 + PhysChem),21,False,1.4067408915713104,1.0101166186428594,-0.008471401435272485
Hybrid-XGB (ECFP2048 r=2 + PhysChem),22,False,1.4311746852650582,1.1483427972134916,0.06101539057174021
Hybrid-XGB (ECFP2048 r=2 + PhysChem),23,False,1.286194554744712,1.0066200868018904,0.17425999328992323
Hybrid-XGB (ECFP2048 r=2 + PhysChem),24,False,1.3024765471856572,1.079575660660293,0.17156898103400772
Hybrid-XGB (ECFP2048 r=2 + PhysChem),25,False,1.5114009363742171,1.2251022957989934,-0.06635127243540657
Hybrid-XGB (ECFP2048 r=2 + PhysChem),26,False,1.183464752585213,0.8991475426206353,0.31374285617370934
Hybrid-XGB (ECFP2048 r=2 + PhysChem),27,False,1.5376058869693405,1.1782853858888018,-0.09766309789371908
Hybrid-XGB (ECFP2048 r=2 + PhysChem),28,False,1.5947849312447246,1.287893676613019,-0.08628314675617199
Hybrid-XGB (ECFP2048 r=2 + PhysChem),29,False,1.510735961511258,1.2571893081081307,-0.07187469291704454
Hybrid-XGB (ECFP2048 r=2 + PhysChem),30,False,1.4057670348102698,1.1860934389342843,0.06995967967832847
Hybrid-XGB (ECFP2048 r=2 + PhysChem),31,False,1.3045850113412,1.0794436443133932,0.15342840852635087
Hybrid-XGB (ECFP2048 r=2 + PhysChem),32,False,1.222017246759202,0.9793735292267275,0.1553784663142852
Hybrid-XGB (ECFP2048 r=2 + PhysChem),33,False,1.5262124187067252,1.1483923246614682,-0.006009219793138116
Hybrid-XGB (ECFP2048 r=2 + PhysChem),34,False,1.7796139272938674,1.4661284055330728,-0.1288015674403744
Hybrid-XGB (ECFP2048 r=2 + PhysChem),35,False,1.4852872233541716,1.2023687727905106,0.06251605131534724
Hybrid-XGB (ECFP2048 r=2 + PhysChem),36,False,1.253251560790186,1.0116635122682236,0.2217132406672635
Hybrid-XGB (ECFP2048 r=2 + PhysChem),37,False,1.537826281657781,1.2071799508117975,-0.036780221136777626
Hybrid-XGB (ECFP2048 r=2 + PhysChem),38,False,1.7181289882155895,1.3693081297594374,-0.2561949448204667
Hybrid-XGB (ECFP2048 r=2 + PhysChem),39,False,1.4821035723867229,1.2141250955725895,-0.002756543396027142
Hybrid-XGB (ECFP2048 r=2 + PhysChem),40,False,1.4904977760251892,1.1382119284026437,0.11195127566736614
Hybrid-XGB (ECFP2048 r=2 + PhysChem),41,False,1.376274767080004,1.1231989106455478,0.0037117631126711405
Hybrid-XGB (ECFP2048 r=2 + PhysChem),42,False,1.1963149845499153,0.9361647910553283,0.24170374279994133
Hybrid-XGB (ECFP2048 r=2 + PhysChem),43,False,1.4497304865070553,1.194052232589394,-0.07453817657472254
Hybrid-XGB (ECFP2048 r=2 + PhysChem),44,False,1.7906221816716752,1.4562584746415275,-0.1465788740431267
Hybrid-XGB (ECFP2048 r=2 + PhysChem),45,False,1.6429715180640674,1.3325732845308234,-0.0599630907497245
Hybrid-XGB (ECFP2048 r=2 + PhysChem),46,False,1.4190789258591483,1.1266903413170248,-0.0093262904569266
Hybrid-XGB (ECFP2048 r=2 + PhysChem),47,False,1.5004528055556685,1.2001359384375876,-0.023859591498222577
Hybrid-XGB (ECFP2048 r=2 + PhysChem),48,False,1.3513491075626074,1.0730496583466214,0.09482551741128498
Hybrid-XGB (ECFP2048 r=2 + PhysChem),49,False,1.501818466160571,1.1769961683425536,-0.026731704007782953
Hybrid-XGB (ECFP2048 r=2 + PhysChem),50,False,1.4386955863571875,1.1922370520861856,-0.036358768919909024
Hybrid-XGB (ECFP2048 r=2 + PhysChem),51,False,1.4200529105662627,1.1808254509286042,0.05243042372388522
Hybrid-XGB (ECFP2048 r=2 + PhysChem),52,False,1.2487247263407724,0.9350675278125735,0.23665301946956419
Hybrid-XGB (ECFP2048 r=2 + PhysChem),53,False,1.4703588834047399,1.2409828784081174,-0.026950039273050237
Hybrid-XGB (ECFP2048 r=2 + PhysChem),54,False,1.575815855093017,1.3437769163453186,-0.13798927081569998
Hybrid-XGB (ECFP2048 r=2 + PhysChem),55,False,1.6222120818715797,1.3655707880143644,-0.06656511617418845
Hybrid-XGB (ECFP2048 r=2 + PhysChem),56,False,1.4886899855459164,1.1993577637705437,-0.12350163054129873
Hybrid-XGB (ECFP2048 r=2 + PhysChem),57,False,1.5888176668302467,1.3282645809686315,0.010400488147996278
Hybrid-XGB (ECFP2048 r=2 + PhysChem),58,False,1.4890153680820473,1.1098691609195037,-0.015632417542947884
Hybrid-XGB (ECFP2048 r=2 + PhysChem),59,False,1.3084583168774064,1.092080882488057,0.17629203285789508
Hybrid-XGB (ECFP2048 r=2 + PhysChem),60,False,1.5745215898302165,1.2498853371966279,-0.1736586849427581
Hybrid-XGB (ECFP2048 r=2 + PhysChem),61,False,1.2603060627407212,1.0162424179032348,0.2249581654612046
Hybrid-XGB (ECFP2048 r=2 + PhysChem),62,False,1.4418409692297591,1.1596372913752808,0.07360951460804936
Hybrid-XGB (ECFP2048 r=2 + PhysChem),63,False,1.4002087548985684,1.1422567796141831,-0.029134120268715664
Hybrid-XGB (ECFP2048 r=2 + PhysChem),64,False,1.3548062653095039,1.1056587640612465,0.20306969662494062
Hybrid-XGB (ECFP2048 r=2 + PhysChem),65,False,1.414803762491248,1.1475468933130948,0.06737267609076662
Hybrid-XGB (ECFP2048 r=2 + PhysChem),66,False,1.5395415663431709,1.2678968396851256,-0.1224631974506503
Hybrid-XGB (ECFP2048 r=2 + PhysChem),67,False,1.4939197860303821,1.1841625756900584,-0.005551069393686728
Hybrid-XGB (ECFP2048 r=2 + PhysChem),68,False,1.3488003122879393,1.0764523430607082,0.19933226131329887
Hybrid-XGB (ECFP2048 r=2 + PhysChem),69,False,1.7428989073272547,1.444584284281932,-0.2902363034743231
Hybrid-XGB (ECFP2048 r=2 + PhysChem),70,False,1.3597549422644104,1.0783917817551487,0.0989438690890766
Hybrid-XGB (ECFP2048 r=2 + PhysChem),71,False,1.4384156486114876,1.1441985270061596,-0.013048165912604482
Hybrid-XGB (ECFP2048 r=2 + PhysChem),72,False,1.3889730284828192,1.1169000715033561,0.12304395356786216
Hybrid-XGB (ECFP2048 r=2 + PhysChem),73,False,1.3315609312863659,1.1092863210670503,-0.013697827553646624
Hybrid-XGB (ECFP2048 r=2 + PhysChem),74,False,1.6332226761309752,1.3060349847832355,-0.019510458113063962
Hybrid-XGB (ECFP2048 r=2 + PhysChem),75,False,1.3633857046706859,1.1362537984594145,0.03391818637104775
Hybrid-XGB (ECFP2048 r=2 + PhysChem),76,False,1.605542899569162,1.284752457262618,-0.14770515402464515
Hybrid-XGB (ECFP2048 r=2 + PhysChem),77,False,1.5976434304271645,1.348472601977757,-0.09590262699906185
Hybrid-XGB (ECFP2048 r=2 + PhysChem),78,False,1.2820203241173138,1.0152430132001573,0.21574153207705454
Hybrid-XGB (ECFP2048 r=2 + PhysChem),79,False,1.2509316069915895,0.9116114331019187,0.2607087467111922
Hybrid-XGB (ECFP2048 r=2 + PhysChem),80,False,1.454423808383092,1.1390341086221525,0.10013373095017108
Hybrid-XGB (ECFP2048 r=2 + PhysChem),81,False,1.3909802876485602,1.1478293689420458,0.012272453289305074
Hybrid-XGB (ECFP2048 r=2 + PhysChem),82,False,1.4376900315955727,1.1494398472752394,0.0224661235209776
Hybrid-XGB (ECFP2048 r=2 + PhysChem),83,False,1.6950029018370536,1.338242759950135,-0.15344635667068682
Hybrid-XGB (ECFP2048 r=2 + PhysChem),84,False,1.7963897511260611,1.3659838205683623,-0.28784759381662683
Hybrid-XGB (ECFP2048 r=2 + PhysChem),85,False,1.5402338096973065,1.176119565761037,-0.10923929378619028
Hybrid-XGB (ECFP2048 r=2 + PhysChem),86,False,1.3639661563128487,1.0725738576434733,0.1293153769785654
Hybrid-XGB (ECFP2048 r=2 + PhysChem),87,False,1.3699905978948603,1.1091146193097712,-0.06540200682930475
Hybrid-XGB (ECFP2048 r=2 + PhysChem),88,False,1.6690811046570484,1.365988982662159,-0.22326618381440647
Hybrid-XGB (ECFP2048 r=2 + PhysChem),89,False,1.8077454842260803,1.4651621413667386,-0.1909907034191475
Hybrid-XGB (ECFP2048 r=2 + PhysChem),90,False,1.4925389162455132,1.1746437507193952,0.025006265883859367
Hybrid-XGB (ECFP2048 r=2 + PhysChem),91,False,1.5171782317969895,1.186435036570672,-0.06702324979506147
Hybrid-XGB (ECFP2048 r=2 + PhysChem),92,False,1.3970296464302918,1.1189592264449464,0.04815145286242537
Hybrid-XGB (ECFP2048 r=2 + PhysChem),93,False,1.3821421561508127,1.139436682461212,0.10863608065271901
Hybrid-XGB (ECFP2048 r=2 + PhysChem),94,False,1.3154683043799278,1.026853096046579,0.11731225140900085
Hybrid-XGB (ECFP2048 r=2 + PhysChem),95,False,1.6701698563508427,1.3176709357443879,-0.14835384802558593
Hybrid-XGB (ECFP2048 r=2 + PhysChem),96,False,1.5043803236694173,1.2213764738279647,-0.01218253653938911
Hybrid-XGB (ECFP2048 r=2 + PhysChem),97,False,1.562558320776302,1.2786210930904978,-0.07435793808704798
Hybrid-XGB (ECFP2048 r=2 + PhysChem),98,False,1.557033995265198,1.2662064501843873,-0.05812163821611258
Hybrid-XGB (ECFP2048 r=2 + PhysChem),99,False,1.4367893558944274,1.1326693230193003,-0.02040201673919366
Hybrid-XGB (ECFP2048 r=2 + PhysChem),100,False,1.34299263731199,1.0874930210398317,0.1680205031626476
Hybrid-XGB (ECFP2048 r=2 + PhysChem),101,False,1.4686699611813665,1.1720646997109352,0.06421782076850535
Hybrid-XGB (ECFP2048 r=2 + PhysChem),102,False,1.441120921586547,1.1979763006019855,0.02932312805832693
Hybrid-XGB (ECFP2048 r=2 + PhysChem),103,False,1.2651801376195446,1.0471488743280841,0.203568768728071
Hybrid-XGB (ECFP2048 r=2 + PhysChem),104,False,1.5893608996728126,1.2697678553499625,-0.08801105148028104
Hybrid-XGB (ECFP2048 r=2 + PhysChem),105,False,1.6139964985154358,1.2190662511097337,0.031080592318405757
Hybrid-XGB (ECFP2048 r=2 + PhysChem),106,False,1.236943210986143,0.9556208709097955,0.2379342897597514
Hybrid-XGB (ECFP2048 r=2 + PhysChem),107,False,1.4840688862208247,1.159900206872896,0.14396135604668897
Hybrid-XGB (ECFP2048 r=2 + PhysChem),108,False,1.3482411364252311,1.025964419692388,0.027632544694710104
Hybrid-XGB (ECFP2048 r=2 + PhysChem),109,False,1.452828982638065,1.168514420251855,0.08767672593484072
Hybrid-XGB (ECFP2048 r=2 + PhysChem),110,False,1.5741306146881555,1.2942487319896445,0.08734929311335363
Hybrid-XGB (ECFP2048 r=2 + PhysChem),111,False,1.5472839207126028,1.2110548102177368,-0.04167817934571695
Hybrid-XGB (ECFP2048 r=2 + PhysChem),112,False,1.209870292961338,0.9335308372339313,0.22543676190267417
Hybrid-XGB (ECFP2048 r=2 + PhysChem),113,False,1.5161932839360013,1.262070609961683,-0.10107755470997024
Hybrid-XGB (ECFP2048 r=2 + PhysChem),114,False,1.5749276023685648,1.2419104433991357,-0.10129656651940984
Hybrid-XGB (ECFP2048 r=2 + PhysChem),115,False,1.4651196445328505,1.209987175495965,0.0779748728239038
Hybrid-XGB (ECFP2048 r=2 + PhysChem),116,False,1.5478244705756212,1.3290320990159223,-0.051420272901518696
Hybrid-XGB (ECFP2048 r=2 + PhysChem),117,False,1.4870923511170235,1.194190816213495,0.01848167556534628
Hybrid-XGB (ECFP2048 r=2 + PhysChem),118,False,1.1923455114939912,0.9908879317219702,0.25840120149224133
Hybrid-XGB (ECFP2048 r=2 + PhysChem),119,False,1.4014881323093458,1.1750948302336903,0.04414875652373657
Hybrid-XGB (ECFP2048 r=2 + PhysChem),120,False,1.413894138347388,1.1617071033416475,0.03242572176739063
Hybrid-XGB (ECFP2048 r=2 + PhysChem),121,False,1.3149525435641114,1.0417509377009528,0.14898708596658664
Hybrid-XGB (ECFP2048 r=2 + PhysChem),122,False,1.417805420185302,1.1619534814473298,0.07029760969752216
Hybrid-XGB (ECFP2048 r=2 + PhysChem),123,False,1.4649373644474548,1.1444275727707214,0.016656180856819653
Hybrid-XGB (ECFP2048 r=2 + PhysChem),124,False,1.4989418913678416,1.2459443130168548,-0.012688455472559756
Hybrid-XGB (ECFP2048 r=2 + PhysChem),125,False,1.5749792192298706,1.2206636500491155,-0.05919332849469354
Hybrid-XGB (ECFP2048 r=2 + PhysChem),126,False,1.315347830659625,1.057414289621023,0.10033269082761871
Hybrid-XGB (ECFP2048 r=2 + PhysChem),127,False,1.4150080576307251,1.11224030053123,-0.024337593909677158
Hybrid-XGB (ECFP2048 r=2 + PhysChem),128,False,1.635351471802054,1.3106406421284622,-0.2103569752890179
Hybrid-XGB (ECFP2048 r=2 + PhysChem),129,False,1.4170019543525159,1.1081341891930259,0.002556759771481512
Hybrid-XGB (ECFP2048 r=2 + PhysChem),130,False,1.5287367160720142,1.2523033501003076,-0.09761965650754281
Hybrid-XGB (ECFP2048 r=2 + PhysChem),131,False,1.2734177415726542,1.01077340951951,0.2994588657145152
Hybrid-XGB (ECFP2048 r=2 + PhysChem),132,False,1.4928844292214059,1.2138174634176555,-0.006631103889628847
Hybrid-XGB (ECFP2048 r=2 + PhysChem),133,False,1.5974606614969504,1.2412778464400112,-0.14531252307454512
Hybrid-XGB (ECFP2048 r=2 + PhysChem),134,False,1.4751638494985313,1.2324331568745728,0.07966984364933531
Hybrid-XGB (ECFP2048 r=2 + PhysChem),135,False,1.266544047069755,1.0109134723452684,0.058863079644086255
Hybrid-XGB (ECFP2048 r=2 + PhysChem),136,False,1.4817513192820075,1.195694513075391,0.12812315783401315
Hybrid-XGB (ECFP2048 r=2 + PhysChem),137,False,1.6413169165476624,1.3253469816197014,-0.21798001983615997
Hybrid-XGB (ECFP2048 r=2 + PhysChem),138,False,1.210392286171219,1.0033406336897546,0.24802246716525617
Hybrid-XGB (ECFP2048 r=2 + PhysChem),139,False,1.25284484517691,1.0481779845374233,0.1909219881527835
Hybrid-XGB (ECFP2048 r=2 + PhysChem),140,False,1.2177719281584765,1.0026360058601216,0.28488590215986836
Hybrid-XGB (ECFP2048 r=2 + PhysChem),141,False,1.4388634081835514,1.161752527578899,0.006272798270995384
Hybrid-XGB (ECFP2048 r=2 + PhysChem),142,False,1.4099831357260697,1.1521967164916584,0.0708149792005575
Hybrid-XGB (ECFP2048 r=2 + PhysChem),143,False,1.1633819760751274,0.9227958885016283,0.318683755382378
Hybrid-XGB (ECFP2048 r=2 + PhysChem),144,False,1.5910730915576963,1.2713113980790545,-0.11616349881664952
Hybrid-XGB (ECFP2048 r=2 + PhysChem),145,False,1.5474603812864425,1.212691051485198,-0.14338999229627308
Hybrid-XGB (ECFP2048 r=2 + PhysChem),146,False,1.4421051456381826,1.2005602506460986,0.1137510465841117
Hybrid-XGB (ECFP2048 r=2 + PhysChem),147,False,1.5279170383310465,1.2478971228581472,-0.047917626619334006
Hybrid-XGB (ECFP2048 r=2 + PhysChem),148,False,1.1922922490325814,0.950095162131354,0.1650764880246603
Hybrid-XGB (ECFP2048 r=2 + PhysChem),149,False,1.4786941938914642,1.1958161242005196,0.002612059692442803
Hybrid-XGB (ECFP2048 r=2 + PhysChem),150,False,1.5753323907932202,1.3406266257427812,-0.0957121077043899
Hybrid-XGB (ECFP2048 r=2 + PhysChem),151,False,1.3896582794841452,1.0987906577550317,0.05467858422221213
Hybrid-XGB (ECFP2048 r=2 + PhysChem),152,False,1.6463513752185517,1.3532595116902773,-0.09232921705961365
Hybrid-XGB (ECFP2048 r=2 + PhysChem),153,False,1.4920942697705546,1.2355450556451082,0.02299911630546178
Hybrid-XGB (ECFP2048 r=2 + PhysChem),154,False,1.4654447777002466,1.2120710816097389,0.09674657169653769
Hybrid-XGB (ECFP2048 r=2 + PhysChem),155,False,1.4412532236284523,1.19212187254404,-0.0017166099409078289
Hybrid-XGB (ECFP2048 r=2 + PhysChem),156,False,1.4273364256212375,1.126028344684931,0.010238291251546933
Hybrid-XGB (ECFP2048 r=2 + PhysChem),157,False,1.3722325558993314,1.1477002744344433,0.010647508582176593
Hybrid-XGB (ECFP2048 r=2 + PhysChem),158,False,1.3528350871182007,1.065240125664931,0.048355261827681836
Hybrid-XGB (ECFP2048 r=2 + PhysChem),159,False,1.20652342284028,0.8963497352117628,0.3178934723563262
Hybrid-XGB (ECFP2048 r=2 + PhysChem),160,False,1.4620459523984535,1.2444634221958066,-0.12272856073712388
Hybrid-XGB (ECFP2048 r=2 + PhysChem),161,False,1.5279293829687837,1.2333306789152179,0.0032128349301413063
Hybrid-XGB (ECFP2048 r=2 + PhysChem),162,False,1.8371432683443074,1.5323840603729262,-0.2464416019103361
Hybrid-XGB (ECFP2048 r=2 + PhysChem),163,False,1.4744614613478368,1.2089541508485198,-0.03181439213020186
Hybrid-XGB (ECFP2048 r=2 + PhysChem),164,False,1.3760050517983031,1.1075803779504063,0.09216934477752663
Hybrid-XGB (ECFP2048 r=2 + PhysChem),165,False,1.4055542223573332,1.121520969296078,0.02338217948356827
Hybrid-XGB (ECFP2048 r=2 + PhysChem),166,False,1.6187372145596535,1.3565762259431724,-0.01958134679166253
Hybrid-XGB (ECFP2048 r=2 + PhysChem),167,False,1.6041822396419203,1.339165247239608,-0.1252938071836337
Hybrid-XGB (ECFP2048 r=2 + PhysChem),168,False,1.5337881232527497,1.2480675168809523,-0.1503258223061658
Hybrid-XGB (ECFP2048 r=2 + PhysChem),169,False,1.3743439298304667,1.1495442461565826,0.12284219003900483
Hybrid-XGB (ECFP2048 r=2 + PhysChem),170,False,1.6299205071168814,1.3514981415676153,-0.01754992559814896
Hybrid-XGB (ECFP2048 r=2 + PhysChem),171,False,1.5432025257898576,1.2792835329919596,-0.01845751721172796
Hybrid-XGB (ECFP2048 r=2 + PhysChem),172,False,1.6201517902285425,1.2898723080797772,-0.12221358084432768
Hybrid-XGB (ECFP2048 r=2 + PhysChem),173,False,1.6616399758721454,1.383048848911642,-0.19344839586816492
Hybrid-XGB (ECFP2048 r=2 + PhysChem),174,False,1.2521663983956657,1.0586195787520722,0.223888009971576
Hybrid-XGB (ECFP2048 r=2 + PhysChem),175,False,1.6058460273985014,1.2979233698146158,-0.10906441886363002
Hybrid-XGB (ECFP2048 r=2 + PhysChem),176,False,1.7373510381610555,1.4360803202947028,-0.20655180775937917
Hybrid-XGB (ECFP2048 r=2 + PhysChem),177,False,1.4206632346953838,1.1837981612637278,0.08777187092224151
Hybrid-XGB (ECFP2048 r=2 + PhysChem),178,False,1.2524037167177664,1.0266870734518174,0.3089981166187892
Hybrid-XGB (ECFP2048 r=2 + PhysChem),179,False,1.4544499261539126,1.2170497996422485,-0.13928916658525853
Hybrid-XGB (ECFP2048 r=2 + PhysChem),180,False,1.3668162001930813,1.1316946278998092,0.18275728068437852
Hybrid-XGB (ECFP2048 r=2 + PhysChem),181,False,1.3592729633839753,1.1051588118903717,0.0921781489870129
Hybrid-XGB (ECFP2048 r=2 + PhysChem),182,False,1.2890969021944492,1.0942912262867308,0.2531561974305479
Hybrid-XGB (ECFP2048 r=2 + PhysChem),183,False,1.2384273437380966,1.0097699651857783,0.18619396027498358
Hybrid-XGB (ECFP2048 r=2 + PhysChem),184,False,1.4259373123485193,1.1440470944398313,0.039533352520253764
Hybrid-XGB (ECFP2048 r=2 + PhysChem),185,False,1.5342685728206016,1.1990586682275364,-0.04750808343769755
Hybrid-XGB (ECFP2048 r=2 + PhysChem),186,False,1.5198418480586426,1.2435275732425148,-0.06538489833023145
Hybrid-XGB (ECFP2048 r=2 + PhysChem),187,False,1.4945696796565522,1.202546965848561,-0.006487093305132134
Hybrid-XGB (ECFP2048 r=2 + PhysChem),188,False,1.5221904996202364,1.2561049684284742,0.06396067676118138
Hybrid-XGB (ECFP2048 r=2 + PhysChem),189,False,1.4713725953955346,1.1549297826017912,-0.077788929240757
Hybrid-XGB (ECFP2048 r=2 + PhysChem),190,False,1.4400867153064592,1.1750833545832449,0.05677158659394506
Hybrid-XGB (ECFP2048 r=2 + PhysChem),191,False,1.4983849779321359,1.130001467293265,-0.049005148467932635
Hybrid-XGB (ECFP2048 r=2 + PhysChem),192,False,1.2681142006098047,0.9993503782271291,0.2105529388023079
Hybrid-XGB (ECFP2048 r=2 + PhysChem),193,False,1.4235646397290513,1.1807332669167334,0.16374288271780216
Hybrid-XGB (ECFP2048 r=2 + PhysChem),194,False,1.693784184902664,1.3878635787444327,-0.19433887618564252
Hybrid-XGB (ECFP2048 r=2 + PhysChem),195,False,1.4131055538801758,1.1443147410624892,0.04224922154203786
Hybrid-XGB (ECFP2048 r=2 + PhysChem),196,False,1.5489858970465904,1.2793561110802927,-0.1409580640539208
Hybrid-XGB (ECFP2048 r=2 + PhysChem),197,False,1.294136123528896,1.0567694902471398,0.2626875416253393
Hybrid-XGB (ECFP2048 r=2 + PhysChem),198,False,1.3278077191871038,1.07754569882799,0.14663840713746792
Hybrid-XGB (ECFP2048 r=2 + PhysChem),199,False,1.519310273490559,1.2597629045173622,-0.07662163619444959
Hybrid-XGB (ECFP2048 r=2 + PhysChem),200,False,1.3803233100498846,1.086857745440478,0.09252473276071357
